manufacturer_code,manufacturer_name,item_muc,item_name,item_description,item_pack_size,item_category,retailer_code,retailer_name,retailer_category,retailer_city,retailer_address,distributor_code,dist_address,dc_code,dc_name,dc_address,city_name,total_cases,date
602,Procter & Gamble Hygiene and Health Care Ltd.,20004,Whisper Sanitary Pads,"Whisper ultra soft sanitary pads, with 1000 suction holes for clean, dry protection",Regular,Feminine Hygiene,,,,,,,,,,,,22,2024-02-29
609,Marico Ltd.,90002,Saffola Oil,"Saffola gold edible oil, enriched with natural antioxidants for heart health",1 L,Food Products,,,,,,,,,,,,99,2024-02-29
610,Godrej Consumer Products Ltd.,100003,Cinthol Soap,"Cinthol original soap, with refreshing and deodorizing properties, for an active lifestyle",100 g,Personal Care,,,,,,,,,,,,20,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20005,Gillette Razor,"Gillette Mach3 razor, with 3 blades for a close and comfortable shave",1 count,Personal Care,,,,,,,,,,,,4,2024-02-29
608,ITC Ltd.,80008,Vivel Body Wash,"Vivel satin soft body wash, with almond oil and shea butter for soft and moisturized skin",200 ml,Personal Care,,,,,,,,,,,,36,2024-02-29
607,Colgate-Palmolive (India) Ltd.,70003,Protex Soap,"Protex deep clean soap, with antibacterial formula for protection against germs",75 g,Personal Care,,,,,,,,,,,,49,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20007,Pantene Shampoo,"Pantene hair fall control shampoo, strengthens hair from root to tip and reduces hair fall",340 ml,Personal Care,,,,,,,,,,,,56,2024-02-29
608,ITC Ltd.,80010,Mangaldeep Agarbatti,"Mangaldeep agarbatti, with natural fragrances for a divine and calming atmosphere",250 g,Home Care,,,,,,,,,,,,37,2024-02-29
606,Britannia Industries Ltd.,60003,Britannia Bourbon Chocolate,"Britannia Bourbon chocolate cream biscuits, rich chocolate cream between crispy biscuits",150 g,Snacks,,,,,,,,,,,,34,2024-02-29
603,Nestle India Ltd.,30005,Cerelac Baby Cereal,"Cerelac infant cereal stage 1, fortified with iron and essential vitamins for healthy growth",300 g,Baby Care,,,,,,,,,,,,25,2024-02-29
603,Nestle India Ltd.,30010,Bar-One Chocolate,"Nestle Bar-One chocolate bar, with crunchy wafer and rich chocolate for an energy boost",19 g,Snacks,,,,,,,,,,,,76,2024-02-29
608,ITC Ltd.,80006,Savlon Antiseptic Liquid,"Savlon antiseptic liquid, with powerful germ protection for minor cuts and wounds",500 ml,Healthcare,,,,,,,,,,,,20,2024-02-29
608,ITC Ltd.,80005,Aashirvaad Atta,"Aashirvaad whole wheat atta, made from carefully selected wheat grains for soft and fluffy rotis",5 kg,Food Products,,,,,,,,,,,,21,2024-02-29
605,Patanjali Ayurved Ltd.,50007,Patanjali Multani Mitti Soap,"Patanjali Multani Mitti body cleanser, with natural clay for deep cleansing and exfoliation",75 g,Personal Care,,,,,,,,,,,,48,2024-02-29
605,Patanjali Ayurved Ltd.,50006,Patanjali Amla Juice,"Patanjali Amla juice, rich in Vitamin C and antioxidants for overall health and immunity",1 L,Beverages,,,,,,,,,,,,92,2024-02-29
608,ITC Ltd.,80007,Sunfeast Dark Fantasy Chocolate,"Sunfeast Dark Fantasy choco fills cookies, with a rich chocolatey filling inside",75 g,Snacks,,,,,,,,,,,,91,2024-02-29
610,Godrej Consumer Products Ltd.,100004,Hit Spray,"Hit mosquito and fly spray, kills mosquitoes and flies instantly, safe for indoor use",200 ml,Home Care,,,,,,,,,,,,69,2024-02-29
608,ITC Ltd.,80003,Fiama Di Wills Soap,"Fiama Di Wills gel bar soap, with skin conditioners for soft and glowing skin",125 g,Personal Care,,,,,,,,,,,,48,2024-02-29
607,Colgate-Palmolive (India) Ltd.,70007,Cibaca Toothbrush,"Cibaca toothbrush, with soft bristles for effective cleaning and gentle on gums",1 count,Personal Care,,,,,,,,,,,,94,2024-02-29
608,ITC Ltd.,80001,Sunfeast Yippee Noodles,"Sunfeast Yippee noodles, with the goodness of wheat and delicious masala taste",75 g,Food Products,,,,,,,,,,,,96,2024-02-29
605,Patanjali Ayurved Ltd.,50005,Patanjali Badam Pak,"Patanjali Badam Pak, nutritious supplement with almonds for strength and energy",500 g,Healthcare,,,,,,,,,,,,48,2024-02-29
603,Nestle India Ltd.,30007,Milkmaid Condensed Milk,"Milkmaid sweetened condensed milk, makes delicious desserts and sweets",400 g,Food Products,,,,,,,,,,,,55,2024-02-29
