manufacturer_code,item_muc,item_name,item_description,item_pack_size,item_category
606,60003,Britannia Bourbon Chocolate,"Britannia Bourbon chocolate cream biscuits, rich chocolate cream between crispy biscuits",150 g,Snacks
606,60004,Britannia Cake,"Britannia fruit cake, loaded with rich fruits and nuts, a delightful treat for any occasion",200 g,Snacks
606,60005,Britannia Rusk,"Britannia rusk, crunchy and delicious, perfect for dipping in tea or coffee",273 g,Snacks
606,60006,Britannia Milk Bikis Biscuits,"Britannia Milk Bikis biscuits, enriched with the goodness of milk, a favorite among kids",100 g,Snacks
606,60007,Britannia NutriChoice Digestive Biscuits,"Britannia NutriChoice digestive biscuits, with the goodness of whole wheat and fiber",250 g,Snacks
606,60008,Britannia Cheese,"Britannia cheese slice, made from pure milk for a rich and creamy taste, perfect for sandwiches",200 g,Food Products
606,60009,Britannia Milk,"Britannia toned milk, enriched with essential nutrients for a healthy lifestyle",1 L,Beverages
606,60010,Britannia Ghee,"Britannia cow ghee, made from pure cow's milk for a rich and authentic flavor",500 g,Food Products
607,70001,Colgate Toothpaste,"Colgate strong teeth toothpaste, with fluoride for cavity protection and fresh breath",200 g,Personal Care
607,70002,Palmolive Shower Gel,"Palmolive aroma therapy shower gel, with essential oils for a luxurious bathing experience",250 ml,Personal Care
607,70003,Protex Soap,"Protex deep clean soap, with antibacterial formula for protection against germs",75 g,Personal Care
607,70004,Axion Dishwashing Paste,"Axion dishwashing paste, cuts through grease and leaves dishes sparkling clean",400 g,Home Care
607,70005,Hills Biscuits,"Hills cream biscuits, rich and creamy biscuits, a delightful treat for any time of the day",100 g,Snacks
607,70006,Vivel Soap,"Vivel luxury creme soap, with almond oil and butter for soft and smooth skin",100 g,Personal Care
607,70007,Cibaca Toothbrush,"Cibaca toothbrush, with soft bristles for effective cleaning and gentle on gums",1 count,Personal Care
607,70008,Colgate Mouthwash,"Colgate Plax mouthwash, with antibacterial properties for long-lasting fresh breath",250 ml,Personal Care
607,70009,Cibaca Salt Toothpaste,"Cibaca salt toothpaste, with natural salt and minerals for healthy teeth and gums",200 g,Personal Care
607,70010,Ajanta Toothpaste,"Ajanta toothpaste, with natural ingredients for strong teeth and fresh breath",150 g,Personal Care
608,80001,Sunfeast Yippee Noodles,"Sunfeast Yippee noodles, with the goodness of wheat and delicious masala taste",75 g,Food Products
608,80002,Classmate Notebook,"Classmate 200 pages single line notebook, ideal for school and college students",200 pages,Stationery
608,80003,Fiama Di Wills Soap,"Fiama Di Wills gel bar soap, with skin conditioners for soft and glowing skin",125 g,Personal Care
608,80004,Bingo Potato Chips,"Bingo Mad Angles potato chips, with a tangy twist of Indian spices for a unique taste",80 g,Snacks
608,80005,Aashirvaad Atta,"Aashirvaad whole wheat atta, made from carefully selected wheat grains for soft and fluffy rotis",5 kg,Food Products
608,80006,Savlon Antiseptic Liquid,"Savlon antiseptic liquid, with powerful germ protection for minor cuts and wounds",500 ml,Healthcare
608,80007,Sunfeast Dark Fantasy Chocolate,"Sunfeast Dark Fantasy choco fills cookies, with a rich chocolatey filling inside",75 g,Snacks
608,80008,Vivel Body Wash,"Vivel satin soft body wash, with almond oil and shea butter for soft and moisturized skin",200 ml,Personal Care
608,80009,Dermafique Face Serum,"Dermafique serum, with advanced skincare technology for youthful and radiant skin",30 ml,Personal Care
608,80010,Mangaldeep Agarbatti,"Mangaldeep agarbatti, with natural fragrances for a divine and calming atmosphere",250 g,Home Care
609,90001,Parachute Coconut Oil,"Parachute pure coconut hair oil, with the goodness of coconut for strong and healthy hair",500 ml,Personal Care
609,90002,Saffola Oil,"Saffola gold edible oil, enriched with natural antioxidants for heart health",1 L,Food Products
609,90003,Set Wet Hair Gel,"Set Wet hair gel, for a wet and stylish look with long-lasting hold and shine",100 ml,Personal Care
609,90004,Mediker Shampoo,"Mediker anti-lice shampoo, with neem and coconut extracts for effective lice removal",200 ml,Personal Care
609,90005,Revive Shampoo,"Revive shampoo, with argan oil and keratin for deep nourishment and repair of damaged hair",250 ml,Personal Care
609,90006,Veggie Clean,"Veggie Clean vegetable wash, removes pesticides and germs from fruits and vegetables",200 ml,Home Care
609,90007,Sil Hair Conditioner,"Silky and Soft hair conditioner, with silicon conditioning agents for smooth and manageable hair",80 ml,Personal Care
609,90008,Livon Hair Serum,"Livon hair serum, with vitamin E for instant shine and frizz-free hair",100 ml,Personal Care
609,90009,Set Wet Deodorant,"Set Wet cool deodorant, with a fresh and cool fragrance for all-day freshness",150 ml,Personal Care
609,90010,Saffola Masala Oats,"Saffola masala oats, a nutritious meal with the goodness of oats and vegetables",40 g,Food Products
610,100001,Godrej No.1 Soap,"Godrej No.1 sandal and turmeric soap, enriched with natural oils for soft and glowing skin",100 g,Personal Care
610,100002,Good Knight Mosquito Repellent,"Good Knight advanced mosquito repellent, protects against mosquitoes for up to 12 hours",45 ml,Home Care
610,100003,Cinthol Soap,"Cinthol original soap, with refreshing and deodorizing properties, for an active lifestyle",100 g,Personal Care
610,100004,Hit Spray,"Hit mosquito and fly spray, kills mosquitoes and flies instantly, safe for indoor use",200 ml,Home Care
610,100005,Godrej Aer Air Freshener,"Godrej Aer click air freshener, with a fragrance that lasts up to 60 days",10 g,Home Care
610,100006,Godrej Nupur Henna,"Godrej Nupur henna, with 9 herbs for natural color and care for your hair",400 g,Personal Care
610,100007,Ezee Liquid Detergent,"Ezee liquid detergent, for gentle and effective washing of delicate fabrics",1 L,Home Care
610,100008,Expert Liquid Dishwash,"Expert liquid dishwash, tough on grease and gentle on hands, for sparkling clean dishes",750 ml,Home Care
610,100009,Godrej Shikakai Shampoo,"Godrej Shikakai shampoo, with natural extracts of shikakai for clean and healthy hair",200 ml,Personal Care
