manufacturer_code,manufacturer_name,item_muc,item_name,item_description,item_pack_size,item_category,retailer_code,retailer_name,retailer_category,retailer_city,retailer_address,distributor_code,dist_address,dc_code,dc_name,dc_address,city_name,total_cases,date
603,Nestle India Ltd.,30004,Everyday Dairy Whitener,"Everyday dairy whitener, adds a rich and creamy taste to your tea and coffee",200 g,Beverages,,,,,,,,,,,,34,2024-02-29
604,Dabur India Ltd.,40003,Dabur Amla Hair Oil,"Dabur Amla hair oil, with the goodness of amla for strong, healthy hair",200 ml,Personal Care,,,,,,,,,,,,34,2024-02-29
607,Colgate-Palmolive (India) Ltd.,70007,Cibaca Toothbrush,"Cibaca toothbrush, with soft bristles for effective cleaning and gentle on gums",1 count,Personal Care,,,,,,,,,,,,99,2024-02-29
609,Marico Ltd.,90008,Livon Hair Serum,"Livon hair serum, with vitamin E for instant shine and frizz-free hair",100 ml,Personal Care,,,,,,,,,,,,75,2024-02-29
607,Colgate-Palmolive (India) Ltd.,70005,Hills Biscuits,"Hills cream biscuits, rich and creamy biscuits, a delightful treat for any time of the day",100 g,Snacks,,,,,,,,,,,,45,2024-02-29
605,Patanjali Ayurved Ltd.,50001,Patanjali Dant Kanti Toothpaste,"Patanjali Dant Kanti toothpaste, herbal formulation for strong gums and teeth",200 g,Personal Care,,,,,,,,,,,,60,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20004,Whisper Sanitary Pads,"Whisper ultra soft sanitary pads, with 1000 suction holes for clean, dry protection",Regular,Feminine Hygiene,,,,,,,,,,,,65,2024-02-29
603,Nestle India Ltd.,30010,Bar-One Chocolate,"Nestle Bar-One chocolate bar, with crunchy wafer and rich chocolate for an energy boost",19 g,Snacks,,,,,,,,,,,,46,2024-02-29
601,Hindustan Unilever Ltd.,10006,Tresemme Shampoo,"Tresemme keratin smooth shampoo with argan oil, helps control frizz and makes hair smooth and shiny",185 ml,Personal Care,,,,,,,,,,,,90,2024-02-29
607,Colgate-Palmolive (India) Ltd.,70004,Axion Dishwashing Paste,"Axion dishwashing paste, cuts through grease and leaves dishes sparkling clean",400 g,Home Care,,,,,,,,,,,,94,2024-02-29
605,Patanjali Ayurved Ltd.,50005,Patanjali Badam Pak,"Patanjali Badam Pak, nutritious supplement with almonds for strength and energy",500 g,Healthcare,,,,,,,,,,,,25,2024-02-29
606,Britannia Industries Ltd.,60003,Britannia Bourbon Chocolate,"Britannia Bourbon chocolate cream biscuits, rich chocolate cream between crispy biscuits",150 g,Snacks,,,,,,,,,,,,6,2024-02-29
608,ITC Ltd.,80001,Sunfeast Yippee Noodles,"Sunfeast Yippee noodles, with the goodness of wheat and delicious masala taste",75 g,Food Products,,,,,,,,,,,,53,2024-02-29
606,Britannia Industries Ltd.,60008,Britannia Cheese,"Britannia cheese slice, made from pure milk for a rich and creamy taste, perfect for sandwiches",200 g,Food Products,,,,,,,,,,,,62,2024-02-29
609,Marico Ltd.,90001,Parachute Coconut Oil,"Parachute pure coconut hair oil, with the goodness of coconut for strong and healthy hair",500 ml,Personal Care,,,,,,,,,,,,23,2024-02-29
610,Godrej Consumer Products Ltd.,100001,Godrej No.1 Soap,"Godrej No.1 sandal and turmeric soap, enriched with natural oils for soft and glowing skin",100 g,Personal Care,,,,,,,,,,,,65,2024-02-29
601,Hindustan Unilever Ltd.,10004,Lipton Green Tea,"Lipton pure and light green tea leaves, for a refreshing and healthy drink",100 g,Beverages,,,,,,,,,,,,33,2024-02-29
606,Britannia Industries Ltd.,60002,Britannia Marie Gold Biscuits,"Britannia Marie Gold biscuits, light and crunchy biscuits, a perfect tea-time snack",120 g,Snacks,,,,,,,,,,,,85,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20002,Ariel Detergent,"Ariel Matic front load detergent powder, removes tough stains and keeps clothes bright",1 kg,Home Care,,,,,,,,,,,,96,2024-02-29
605,Patanjali Ayurved Ltd.,50009,Patanjali Oats,"Patanjali oats, nutritious and healthy option for breakfast, rich in fiber and essential nutrients",500 g,Food Products,,,,,,,,,,,,98,2024-02-29
608,ITC Ltd.,80003,Fiama Di Wills Soap,"Fiama Di Wills gel bar soap, with skin conditioners for soft and glowing skin",125 g,Personal Care,,,,,,,,,,,,96,2024-02-29
601,Hindustan Unilever Ltd.,10005,Pears Soap,Pears pure and gentle soap with natural oils and glycerin for soft and moisturized skin,125 g,Personal Care,,,,,,,,,,,,79,2024-02-29
610,Godrej Consumer Products Ltd.,100009,Godrej Shikakai Shampoo,"Godrej Shikakai shampoo, with natural extracts of shikakai for clean and healthy hair",200 ml,Personal Care,,,,,,,,,,,,24,2024-02-29
601,Hindustan Unilever Ltd.,10008,Closeup Toothpaste,"Closeup deep action toothpaste, with active zinc mouthwash for long-lasting fresh breath and strong teeth",150 g,Personal Care,,,,,,,,,,,,8,2024-02-29
603,Nestle India Ltd.,30006,Munch Chocolate,"Nestle Munch chocolate bar, with crunchy caramel and rich chocolate, a perfect snack",32 g,Snacks,,,,,,,,,,,,20,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20009,Oral-B Toothbrush,"Oral-B cross action toothbrush, with angled bristles to reach deep between teeth",1 count,Personal Care,,,,,,,,,,,,94,2024-02-29
609,Marico Ltd.,90009,Set Wet Deodorant,"Set Wet cool deodorant, with a fresh and cool fragrance for all-day freshness",150 ml,Personal Care,,,,,,,,,,,,1,2024-02-29
608,ITC Ltd.,80006,Savlon Antiseptic Liquid,"Savlon antiseptic liquid, with powerful germ protection for minor cuts and wounds",500 ml,Healthcare,,,,,,,,,,,,81,2024-02-29
608,ITC Ltd.,80002,Classmate Notebook,"Classmate 200 pages single line notebook, ideal for school and college students",200 pages,Stationery,,,,,,,,,,,,80,2024-02-29
603,Nestle India Ltd.,30008,Maggi Ketchup,"Maggi hot and sweet tomato ketchup, adds a tangy twist to your snacks and meals",500 g,Food Products,,,,,,,,,,,,71,2024-02-29
609,Marico Ltd.,90004,Mediker Shampoo,"Mediker anti-lice shampoo, with neem and coconut extracts for effective lice removal",200 ml,Personal Care,,,,,,,,,,,,78,2024-02-29
604,Dabur India Ltd.,40001,Dabur Honey,"Dabur honey, 100% pure and natural honey for daily health and nutrition",500 g,Food Products,,,,,,,,,,,,35,2024-02-29
606,Britannia Industries Ltd.,60010,Britannia Ghee,"Britannia cow ghee, made from pure cow's milk for a rich and authentic flavor",500 g,Food Products,,,,,,,,,,,,3,2024-02-29
603,Nestle India Ltd.,30001,Maggi Noodles,"Maggi instant noodles, ready in just 2 minutes, with a delicious taste of spices and vegetables",70 g,Food Products,,,,,,,,,,,,98,2024-02-29
608,ITC Ltd.,80007,Sunfeast Dark Fantasy Chocolate,"Sunfeast Dark Fantasy choco fills cookies, with a rich chocolatey filling inside",75 g,Snacks,,,,,,,,,,,,72,2024-02-29
606,Britannia Industries Ltd.,60007,Britannia NutriChoice Digestive Biscuits,"Britannia NutriChoice digestive biscuits, with the goodness of whole wheat and fiber",250 g,Snacks,,,,,,,,,,,,52,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20010,Old Spice Deodorant,"Old Spice original deodorant spray, with a fresh and masculine fragrance",150 ml,Personal Care,,,,,,,,,,,,22,2024-02-29
