manufacturer_code,manufacturer_name,item_muc,item_name,item_description,item_pack_size,item_category,retailer_code,retailer_name,retailer_category,retailer_city,retailer_address,distributor_code,dist_address,dc_code,dc_name,dc_address,city_name,total_cases,date
606,Britannia Industries Ltd.,60009,Britannia Milk,"Britannia toned milk, enriched with essential nutrients for a healthy lifestyle",1 L,Beverages,,,,,,,,,,,,69,2024-02-29
607,Colgate-Palmolive (India) Ltd.,70004,Axion Dishwashing Paste,"Axion dishwashing paste, cuts through grease and leaves dishes sparkling clean",400 g,Home Care,,,,,,,,,,,,32,2024-02-29
605,Patanjali Ayurved Ltd.,50001,Patanjali Dant Kanti Toothpaste,"Patanjali Dant Kanti toothpaste, herbal formulation for strong gums and teeth",200 g,Personal Care,,,,,,,,,,,,71,2024-02-29
607,Colgate-Palmolive (India) Ltd.,70003,Protex Soap,"Protex deep clean soap, with antibacterial formula for protection against germs",75 g,Personal Care,,,,,,,,,,,,87,2024-02-29
609,Marico Ltd.,90004,Mediker Shampoo,"Mediker anti-lice shampoo, with neem and coconut extracts for effective lice removal",200 ml,Personal Care,,,,,,,,,,,,41,2024-02-29
603,Nestle India Ltd.,30001,Maggi Noodles,"Maggi instant noodles, ready in just 2 minutes, with a delicious taste of spices and vegetables",70 g,Food Products,,,,,,,,,,,,78,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20004,Whisper Sanitary Pads,"Whisper ultra soft sanitary pads, with 1000 suction holes for clean, dry protection",Regular,Feminine Hygiene,,,,,,,,,,,,24,2024-02-29
601,Hindustan Unilever Ltd.,10010,Rin Detergent,"Rin detergent powder, brightens clothes and removes tough stains effectively",1 kg,Home Care,,,,,,,,,,,,34,2024-02-29
607,Colgate-Palmolive (India) Ltd.,70001,Colgate Toothpaste,"Colgate strong teeth toothpaste, with fluoride for cavity protection and fresh breath",200 g,Personal Care,,,,,,,,,,,,82,2024-02-29
609,Marico Ltd.,90001,Parachute Coconut Oil,"Parachute pure coconut hair oil, with the goodness of coconut for strong and healthy hair",500 ml,Personal Care,,,,,,,,,,,,53,2024-02-29
601,Hindustan Unilever Ltd.,10007,Kissan Ketchup,"Kissan fresh tomato ketchup, made from sun-ripened tomatoes for a tangy taste",500 g,Food Products,,,,,,,,,,,,76,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20005,Gillette Razor,"Gillette Mach3 razor, with 3 blades for a close and comfortable shave",1 count,Personal Care,,,,,,,,,,,,69,2024-02-29
601,Hindustan Unilever Ltd.,10003,Knorr Soup,Knorr classic thick tomato soup with a delightful taste of tomatoes and real vegetables,53 g,Food Products,,,,,,,,,,,,41,2024-02-29
610,Godrej Consumer Products Ltd.,100009,Godrej Shikakai Shampoo,"Godrej Shikakai shampoo, with natural extracts of shikakai for clean and healthy hair",200 ml,Personal Care,,,,,,,,,,,,82,2024-02-29
601,Hindustan Unilever Ltd.,10005,Pears Soap,Pears pure and gentle soap with natural oils and glycerin for soft and moisturized skin,125 g,Personal Care,,,,,,,,,,,,46,2024-02-29
608,ITC Ltd.,80001,Sunfeast Yippee Noodles,"Sunfeast Yippee noodles, with the goodness of wheat and delicious masala taste",75 g,Food Products,,,,,,,,,,,,32,2024-02-29
604,Dabur India Ltd.,40006,Real Fruit Juice,"Real mixed fruit juice, made with real fruits and no added preservatives or colors",1 L,Beverages,,,,,,,,,,,,28,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20009,Oral-B Toothbrush,"Oral-B cross action toothbrush, with angled bristles to reach deep between teeth",1 count,Personal Care,,,,,,,,,,,,31,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20010,Old Spice Deodorant,"Old Spice original deodorant spray, with a fresh and masculine fragrance",150 ml,Personal Care,,,,,,,,,,,,48,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20008,Vicks Vaporub,"Vicks vaporub, provides relief from cold symptoms like cough and congestion",50 g,Healthcare,,,,,,,,,,,,63,2024-02-29
606,Britannia Industries Ltd.,60008,Britannia Cheese,"Britannia cheese slice, made from pure milk for a rich and creamy taste, perfect for sandwiches",200 g,Food Products,,,,,,,,,,,,7,2024-02-29
605,Patanjali Ayurved Ltd.,50009,Patanjali Oats,"Patanjali oats, nutritious and healthy option for breakfast, rich in fiber and essential nutrients",500 g,Food Products,,,,,,,,,,,,9,2024-02-29
